shelfmark,pgpids,shelfmarks_historic,collection,library,library_abbrev,collection_name,collection_abbrev,url,iiif_url,is_multifragment,created,last_modified,provenance_display,provenance,material_support
AIU I.C.73,29220,AIU I C 73,AIU,Alliance Israélite Universelle,AIU,,,,,N,2022-05-04 18:15:08.128890+00:00,2024-01-18 16:55:36.861579+00:00,,,
AIU II.A.73,26617,AIU II A 73,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:28.619763+00:00,2024-01-18 16:55:36.863862+00:00,,,
AIU II.B.312,34031,AIU II B 312,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-07-15 09:23:06.456665+00:00,2024-01-18 16:55:36.864711+00:00,,,
AIU III.B.134,26618,AIU III B 134,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:28.728773+00:00,2024-01-18 16:55:36.865437+00:00,,,
AIU III.B.184,26619,AIU III B 184,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:28.781705+00:00,2024-01-18 16:55:36.866131+00:00,,,
AIU III.B.237,26620,AIU III B 237,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:28.811882+00:00,2024-01-18 16:55:36.866906+00:00,,,
AIU III.C.39,26621,AIU III C 39,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:28.875272+00:00,2024-01-18 16:55:36.871204+00:00,,,
AIU III.C.43,26622,AIU III C 43,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:28.912728+00:00,2024-01-18 16:55:36.871992+00:00,,,
AIU III.D.31,30304,AIU III D 31,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:28.957903+00:00,2024-01-18 16:55:36.872775+00:00,,,
AIU III.D.5,31556,AIU III D 5,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.003804+00:00,2024-01-18 16:55:36.873560+00:00,,,
AIU III.D.7,26623,AIU III D 7,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.029721+00:00,2024-01-18 16:55:36.874333+00:00,,,
AIU IV.A.206,35834,AIU IV A 206,AIU,Alliance Israélite Universelle,AIU,,,,,N,2022-07-19 00:58:21.513066+00:00,2024-01-18 16:55:36.875119+00:00,,,
AIU IV.A.207,35835,AIU IV A 207,AIU,Alliance Israélite Universelle,AIU,,,,,N,2022-07-19 01:10:01.002760+00:00,2024-01-18 16:55:36.875959+00:00,,,
AIU IV.A.211,34032,AIU IV A 211,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-07-15 09:35:51.259271+00:00,2024-01-18 16:55:36.876797+00:00,,,
AIU IV.A.225,26624,AIU IV A 225,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.063995+00:00,2024-01-18 16:55:36.887267+00:00,,,
AIU IV.A.239,32573,AIU IV A 239,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.100343+00:00,2024-01-18 16:55:36.888217+00:00,,,
AIU IV.A.241,32574,AIU IV A 241,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.137490+00:00,2024-01-18 16:55:36.888989+00:00,,,
AIU IV.A.258,31226,AIU IV A 258,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.174737+00:00,2024-01-18 16:55:36.889646+00:00,,,
AIU IV.A.293,31224,AIU IV A 293,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.209970+00:00,2024-01-18 16:55:36.890327+00:00,,,
AIU IV.A.294,31225,AIU IV A 294,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.256737+00:00,2024-01-18 16:55:36.890954+00:00,,,
AIU IV.B.11,35874,AIU IV B 11,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-07-15 09:57:58.332404+00:00,2024-01-18 16:55:36.891580+00:00,,,
AIU IV.B.42,31223,AIU IV B 42,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.308563+00:00,2024-01-18 16:55:36.892322+00:00,,,
AIU IV.C.108,31216,AIU IV C 108,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.353237+00:00,2024-01-18 16:55:36.892983+00:00,,,
AIU IV.C.109,31217,AIU IV C 109,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.386120+00:00,2024-01-18 16:55:36.894583+00:00,,,
AIU IV.C.110,31218,AIU IV C 110,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.412058+00:00,2024-01-18 16:55:36.895341+00:00,,,
AIU IV.C.111,31219,AIU IV C 111,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.438358+00:00,2024-01-18 16:55:36.896084+00:00,,,
AIU IV.C.112,31220,AIU IV C 112,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.464323+00:00,2024-01-18 16:55:36.898622+00:00,,,
AIU IV.C.113,31221,AIU IV C 113,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.489686+00:00,2024-01-18 16:55:36.903251+00:00,,,
AIU IV.C.114,31222,AIU IV C 114,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.523476+00:00,2024-01-18 16:55:36.904097+00:00,,,
AIU IV.C.172,41009,,AIU,Alliance Israélite Universelle,AIU,,,,,N,2025-09-22 17:50:17.457720+00:00,2025-09-22 17:50:17.457731+00:00,,,
AIU IV.C.207,39498,,AIU,Alliance Israélite Universelle,AIU,,,,,N,2024-06-23 04:51:51.624656+00:00,2024-06-23 04:51:51.624673+00:00,,,
AIU IV.C.208,35485,AIU IV C 208,AIU,Alliance Israélite Universelle,AIU,,,,,N,2022-06-11 00:11:27.536527+00:00,2024-01-18 16:55:36.904819+00:00,,,
AIU IV.C.256,34033,AIU IV C 256,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-07-15 10:11:02.440691+00:00,2024-01-18 16:55:36.905470+00:00,,,
AIU IV.C.259,35875,AIU IV C 259,AIU,Alliance Israélite Universelle,AIU,,,,,N,2022-07-21 04:32:37.812251+00:00,2024-01-18 16:55:36.906142+00:00,,,
AIU IV.C.300,30283,AIU IV C 300,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.549727+00:00,2024-01-18 16:55:36.906827+00:00,,,
AIU IV.C.302,35876,AIU IV C 302,AIU,Alliance Israélite Universelle,AIU,,,,,N,2022-07-21 15:27:36.909908+00:00,2024-01-18 16:55:36.907458+00:00,,,
AIU IV.C.461,35727,AIU IV C 461,AIU,Alliance Israélite Universelle,AIU,,,,,N,2022-06-20 08:05:49.402719+00:00,2024-01-18 16:55:36.908105+00:00,,,
AIU IV.C.481,32575,AIU IV C 481,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.578363+00:00,2024-01-18 16:55:36.908765+00:00,,,
AIU IV.C.486,39481,AIU IV C 486,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.605276+00:00,2024-01-18 16:55:36.909461+00:00,,,
AIU IV.C.6,31215,AIU IV C 6,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.701106+00:00,2024-01-18 16:55:36.910142+00:00,,,
AIU IV.C.77,32725,AIU IV C 77,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.730012+00:00,2024-01-18 16:55:36.910848+00:00,,,
AIU IX.A.28,32576,AIU IX A 28,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.759801+00:00,2024-01-18 16:55:36.911532+00:00,,,
AIU IX.A.3,34034,AIU IX A 3,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-07-15 10:19:16.268941+00:00,2024-01-18 16:55:36.912218+00:00,,,
AIU IX.A.45,30860,AIU IX A 45,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.797788+00:00,2024-01-18 16:55:36.912961+00:00,,,
AIU IX.A.46,30861,AIU IX A 46,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.825808+00:00,2024-01-18 16:55:36.913616+00:00,,,
AIU IX.A.47,30862,AIU IX A 47,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.847683+00:00,2024-01-18 16:55:36.914275+00:00,,,
AIU IX.A.48,30863,AIU IX A 48,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.871187+00:00,2024-01-18 16:55:36.914888+00:00,,,
AIU IX.A.49.1,30864,AIU IX A 49.1,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.889751+00:00,2024-01-18 16:55:36.915503+00:00,,,
AIU IX.A.49.10,30873,AIU IX A 49.10,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.916420+00:00,2024-01-18 16:55:36.916201+00:00,,,
AIU IX.A.49.2,30865,AIU IX A 49.2,AIU,Alliance Israélite Universelle,AIU,,,,,N,2021-05-26 20:22:29.934348+00:00,2024-01-18 16:55:36.917044+00:00,,,
